Squad,#Pl,Age,Poss,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG
be Club Brugge,21,26.2,43.8,12,132,1080,12.0,11,7,18,9,2,2,19,2,11.5,9.9,7.9,17.8,143,351,0.92,0.58,1.5,0.75,1.33,0.96,0.66,1.62,0.83,1.49
hr Dinamo Zagreb,25,28.0,37.9,8,88,720,8.0,12,10,22,12,0,0,19,0,7.0,7.0,5.2,12.2,120,186,1.5,1.25,2.75,1.5,2.75,0.88,0.65,1.53,0.88,1.53
de Dortmund,25,27.2,52.0,14,154,1260,14.0,31,18,49,24,7,8,24,0,27.8,21.4,18.0,39.5,259,560,2.21,1.29,3.5,1.71,3.0,1.98,1.29,3.27,1.53,2.82
nl Feyenoord,29,25.5,42.5,12,132,1080,12.0,19,12,31,17,2,3,18,2,13.3,10.9,8.4,19.3,184,377,1.58,1.0,2.58,1.42,2.42,1.11,0.7,1.81,0.91,1.61
es Girona,26,28.1,50.9,8,88,720,8.0,5,3,8,5,0,2,25,1,9.6,8.0,6.9,14.9,133,284,0.62,0.37,1.0,0.62,1.0,1.19,0.86,2.06,0.99,1.86
it Inter,25,30.2,50.3,12,132,1080,12.0,18,11,29,14,4,6,24,0,20.7,16.0,13.0,29.0,194,418,1.5,0.92,2.42,1.17,2.08,1.73,1.08,2.81,1.33,2.42
it Juventus,26,25.5,51.1,10,110,930,10.3,12,8,20,11,1,1,15,2,11.8,11.0,8.1,19.1,217,401,1.16,0.77,1.94,1.06,1.84,1.14,0.79,1.93,1.06,1.85
de Leverkusen,25,27.2,56.3,10,110,900,10.0,14,9,23,13,1,1,23,2,15.1,14.5,11.0,25.5,186,430,1.4,0.9,2.3,1.3,2.2,1.51,1.1,2.61,1.45,2.55
fr Lille,25,26.1,48.4,10,110,900,10.0,17,12,29,15,2,2,23,2,11.5,10.0,7.1,17.1,164,346,1.7,1.2,2.9,1.5,2.7,1.15,0.71,1.87,1.0,1.71
eng Liverpool,27,27.5,51.0,10,110,930,10.3,18,13,31,16,2,3,19,1,20.7,18.3,14.8,33.1,197,469,1.74,1.26,3.0,1.55,2.81,2.0,1.43,3.43,1.77,3.2
eng Manchester City,26,27.4,63.4,10,110,900,10.0,20,11,31,17,3,4,11,0,21.0,18.0,13.5,31.5,315,608,2.0,1.1,3.1,1.7,2.8,2.1,1.35,3.45,1.8,3.15
it Milan,26,26.8,53.0,10,110,900,10.0,15,11,26,15,0,0,28,2,13.8,13.8,10.8,24.6,244,472,1.5,1.1,2.6,1.5,2.6,1.38,1.08,2.46,1.38,2.46
fr Monaco,25,25.4,51.1,10,110,900,10.0,16,11,27,15,1,1,23,3,13.3,12.6,9.7,22.3,170,360,1.6,1.1,2.7,1.5,2.6,1.33,0.97,2.29,1.26,2.23
fr Paris S-G,22,24.9,63.5,14,154,1290,14.3,29,22,51,28,1,1,13,1,29.7,29.0,23.1,52.1,439,790,2.02,1.53,3.56,1.95,3.49,2.07,1.61,3.68,2.02,3.63
nl PSV Eindhoven,28,26.6,54.8,12,132,1110,12.3,22,14,36,21,1,1,24,1,19.3,18.5,13.8,32.3,225,571,1.78,1.14,2.92,1.7,2.84,1.56,1.12,2.68,1.5,2.62
de RB Leipzig,23,26.0,47.5,8,88,720,8.0,8,4,12,7,1,1,15,0,12.3,11.6,8.6,20.2,96,247,1.0,0.5,1.5,0.87,1.37,1.53,1.08,2.61,1.45,2.52
at RB Salzburg,24,23.3,45.1,8,88,720,8.0,5,5,10,5,0,1,16,1,6.6,5.9,4.3,10.2,176,283,0.62,0.62,1.25,0.62,1.25,0.83,0.54,1.37,0.73,1.27
es Real Madrid,23,27.6,53.1,14,154,1290,14.3,29,20,49,28,1,3,34,1,28.0,25.6,20.0,45.6,317,600,2.02,1.4,3.42,1.95,3.35,1.95,1.39,3.35,1.79,3.18
rs Red Star,24,27.2,44.6,8,88,720,8.0,13,10,23,12,1,1,13,0,9.3,8.5,6.9,15.4,144,283,1.62,1.25,2.87,1.5,2.75,1.17,0.86,2.03,1.07,1.93
ua Shakhtar,21,24.9,44.9,8,88,720,8.0,8,5,13,7,1,2,13,1,8.3,6.7,5.2,12.0,103,195,1.0,0.62,1.62,0.87,1.5,1.04,0.66,1.69,0.84,1.49
sk Slovan Bratislava,23,29.2,37.5,8,88,720,8.0,7,5,12,6,1,1,17,1,7.0,6.2,4.6,10.8,95,197,0.87,0.62,1.5,0.75,1.37,0.87,0.58,1.44,0.77,1.35
cz Sparta Prague,26,26.9,33.9,8,88,720,8.0,6,3,9,6,0,0,13,0,6.3,6.3,4.3,10.6,81,184,0.75,0.37,1.13,0.75,1.13,0.78,0.54,1.33,0.78,1.33
pt Sporting CP,27,24.5,49.1,10,110,900,10.0,13,9,22,11,2,2,17,0,12.8,11.3,9.0,20.3,183,340,1.3,0.9,2.2,1.1,2.0,1.28,0.9,2.18,1.13,2.03
at Sturm Graz,23,24.2,37.5,8,88,720,8.0,4,2,6,4,0,0,17,1,6.2,6.2,4.9,11.1,74,186,0.5,0.25,0.75,0.5,0.75,0.78,0.61,1.39,0.78,1.39
de Stuttgart,23,25.9,58.9,8,88,720,8.0,12,11,23,12,0,1,13,0,14.1,13.3,11.0,24.4,141,396,1.5,1.37,2.87,1.5,2.87,1.76,1.38,3.14,1.67,3.04
ch Young Boys,24,25.6,41.8,8,88,720,8.0,3,3,6,3,0,0,24,0,5.6,5.6,4.1,9.7,111,221,0.37,0.37,0.75,0.37,0.75,0.7,0.51,1.21,0.7,1.21
